Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbiting Body,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
0.07543851303463667,-0.3703370126596113,-0.37033701333508756,-1.287596439764045,1.1642584454447507,0.0,0.8781041338435104,-0.4304438284882256,-0.33797117168748847,0.27872765502438196,0.07387939544757723,0.02821912907770679,-0.7027438897847869,1.3995520493900733,-0.05547323153224186,0.18146159090781003,-1.2666949592979904,-0.012920975714809524,0.4543537212064368,0.7504027875083127,-0.4424289949796513,1.0
-0.041366698233951726,-0.31218204867629834,-0.31218204839224706,0.4121074495372292,0.8941748691047412,0.0,0.1817835824120931,1.6947496966701512,0.32659707534691984,0.27872765502438196,-0.34227301651735165,-0.5551183606952016,1.442831333376519,-0.3700175377095148,-0.564884858507955,-0.2154425922866363,1.3146766849793696,-0.5503540335983689,0.038188409019669835,-0.11688855439272403,0.3029051479177586,-1.0
-0.4307174024625788,-0.048578590742260355,-0.04857859029757144,-1.0786597575772243,-1.5650597516847151,0.0,-0.8626972447350328,-0.19674933018775798,-0.4001482737794076,0.27872765502438196,-0.36157264890265073,0.12922384060853348,-0.874108049126129,0.8527348972043653,0.03874102699653591,0.809620436091716,0.6620860170852598,-0.054048907431264726,0.4076221904855267,1.0175135043700534,-0.5336452908875239,1.0
2.3336725975606725,-0.7357119884797567,-0.7357119871062016,-0.571055140513279,0.17066406002007378,0.0,1.226264409559219,-0.690354022055399,0.03266895636693845,0.27872765502438196,-1.1032976384574247,-0.2663557017955933,-0.5225727115180674,-1.1623243993586887,-0.32030569821275207,0.9555435904625164,-1.6556623530706698,-0.5180581175384633,0.16004858754054477,-1.1165511206627168,-0.12143478566125615,-1.0
0.07543851303463667,-0.3703370126596113,-0.37033701333508756,-0.7598991713617638,1.077975544177595,0.0,-0.5145369690193242,-0.3053391809141324,0.08192614114105619,0.27872765502438196,-1.1378312945988398,-0.32540024716739646,0.3292055403877845,-0.8888453677569405,-0.3715553691698404,0.884082089770597,-0.2475425576149564,-0.5649517756193846,0.06030456503139245,-0.4843734684582486,-0.045027902355095996,1.0
-0.7032628954226174,0.22312606582916347,0.2231260654216058,-0.6227667623386932,0.9665341536719734,0.0,-0.5145369690193242,2.8158680262193903,-0.26529663677485577,0.27872765502438196,0.8506544434774188,-0.1345173331150133,0.4379236507918359,0.05086532258275215,-0.20363897733911185,-0.8342045472877033,0.15487081918510898,0.054204748984596055,0.28156600309783764,1.6015416331007162,-0.27642974927567165,-1.0
-0.7032628954226174,0.22312606582916347,0.2231260654216058,-0.6227670980819539,0.9665223928972873,0.0,-0.5145369690193242,2.8158680262193903,-0.26529663677485577,0.27872765502438196,0.8506546519063256,-0.13451736820470042,0.43792343419306273,0.05086534051185798,-0.20363900866952037,-0.8342047984947873,0.15487072534805496,0.054204771183340765,0.28156600309783764,1.601541898725074,-0.2764297083197745,-1.0
-0.859003177114069,0.4225577048866739,0.42255770484579797,1.3057085316068129,-0.9857368401039307,0.0,-0.8626972447350328,0.5355219155191239,-0.10622015479942619,0.27872765502438196,0.21028041539482592,-0.3022804339468292,2.0449118136874005,-0.610608778714162,-0.3515623070210123,-0.37980733028371494,1.0652787449260661,-0.236725680697837,0.5460564337832294,0.007220097949777826,-0.07550337280943832,-1.0
-1.4040941630341464,1.4959145976344228,1.4959145991727478,0.307247719137681,0.711012386397289,0.0,-0.8626972447350328,0.6748209797119735,0.2692649422491764,0.27872765502438196,-0.9816162678895746,-0.48147895779920513,0.8488344917966885,-0.932853101915189,-0.5039771064033719,0.46548314713612704,1.721610850546251,-0.6338163184447868,0.5224455134554283,-0.03600813182629923,0.18159990868774367,-1.0
0.03650344261177341,-0.3518375725469854,-0.3518375731390323,-0.3265808916807341,-0.818163716010819,0.0,-0.8626972447350328,-0.5405521150018245,1.268136049881696,0.27872765502438196,0.7827614534566176,-1.0067042858761226,-1.0828847338803016,-1.7057713703303854,-0.9151591963067517,-1.6484686977408982,0.7160766201606679,-0.6963807625049931,0.15827007904901108,-0.6298551715871374,1.3459127645859468,1.0
0.3869190764175372,-0.49130307176548915,-0.4913030715536147,1.0223075489843305,-0.45353344267925455,0.0,1.226264409559219,-0.7586354500808494,1.5992089311503566,0.27872765502438196,0.3570632679395838,-1.1280534736889984,0.941845109305416,-0.5653055182512339,-1.0020775010060499,-1.5004826880862625,0.38486646405291197,-0.8634801864211364,0.26676250197591406,-1.718101752426917,1.7569019210715477,-1.0
1.71071147079487,-0.7061304677043813,-0.7061304671574586,0.29319858064618276,1.2496726046513016,0.0,0.5299438581278018,-0.7383131919299528,0.05608630650545339,0.27872765502438196,-1.1694182166505924,-0.29581850818342453,0.0369746493196569,-0.11884792907543652,-0.3459571095024086,0.9675469965382825,-1.7039681379944343,-0.5528898172995599,0.1971577857832809,-1.3265376214946856,-0.08389112888757859,-1.0
1.399230907411968,-0.6808570754951714,-0.6808570752245993,-0.43723447128028803,0.7222583309497838,0.0,1.226264409559219,-0.515793066360439,1.075144784947038,0.27872765502438196,-0.4820532887026175,-0.9012239510147951,-0.4815666147382863,-1.5276996064088344,-0.8370481198185602,-0.6209998414871627,-0.5482294350906152,-0.8284320848440977,0.20246947674799357,-1.1352498366589172,1.0436521571750452,-1.0
